method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points,held_end_points
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,42.0,False,105,5.0,33.6,239.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-42\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,100.0,False,105,6.0,32.9,238.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-100\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,777.0,False,105,5.0,34.5,238.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-777\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1438.csv,,h0,2024.0,False,105,5.0,36.4,236.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-2024\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,1.0,False,79,2.0,624.4,109.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-1\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,7.0,False,79,2.0,642.0,106.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-7\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,42.0,False,79,2.0,605.8,107.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-42\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,100.0,False,79,3.0,640.1,107.1,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-100\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,777.0,False,79,2.0,615.7,109.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-777\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1441.csv,,h0,2024.0,False,79,2.0,604.0,106.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-2024\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,1.0,False,76,0.0,647.1,129.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-1\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,7.0,False,76,0.0,659.9,120.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-7\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,42.0,False,76,0.0,638.2,117.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-42\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,100.0,False,76,1.0,674.0,142.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-100\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,777.0,False,76,0.0,672.1,117.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-777\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_proposed,提案方式,7.4,main,pdr_log_0805_1442.csv,,h0,2024.0,False,76,0.0,652.8,138.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_proposed\seed-2024\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,1.0,False,105,0.0,61.1,223.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-1\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,7.0,False,105,0.0,60.6,227.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-7\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,42.0,False,105,0.0,52.3,219.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-42\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,100.0,False,105,0.0,59.8,229.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-100\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,777.0,False,105,0.0,57.1,229.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-777\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1438.csv,,h0,2024.0,False,105,0.0,86.5,238.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-2024\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,1.0,False,79,0.0,633.8,105.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-1\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,7.0,False,79,0.0,653.8,108.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-7\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,42.0,False,79,0.0,559.5,105.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-42\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,100.0,False,79,0.0,550.3,110.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-100\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,777.0,False,79,0.0,580.9,106.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-777\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1441.csv,,h0,2024.0,False,79,0.0,645.2,104.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-2024\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,1.0,False,76,0.0,600.6,136.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-1\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,7.0,False,76,0.0,561.3,144.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-7\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,42.0,False,76,0.0,591.2,139.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-42\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,100.0,False,76,0.0,633.8,132.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-100\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-100.csv,,,,,
