timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y
5.543,-1.4739788,4.5044885,8.761918,0.029167956,0.11438115,0.026266431
5.565,-1.416551,4.5762734,8.752347,0.07437065,-0.08108997,-0.011606098
5.586,-1.1676974,4.8299127,8.321639,0.0865876,-0.17516045,-0.06536066
5.606,-1.0145568,5.1122656,7.9100733,0.07314896,-0.18126893,-0.09834641
5.627,-0.90448695,5.2606206,7.7760754,0.051158458,-0.18249062,-0.11056335
5.647,-0.7369894,5.447261,7.589435,0.035276428,-0.2093679,-0.10445488
5.668,-0.4833502,5.6961145,7.350153,0.005955761,-0.23502348,-0.08857285
5.688,-0.3684947,5.8301125,7.192227,-0.05635066,-0.17638214,-0.073912516
5.709,-0.4211368,5.844469,7.2496543,-0.14797775,0.004428643,-0.08246438
5.73,-0.74177504,5.6913285,8.044071,-0.18951537,0.13270657,-0.11911522
5.75,-1.0241281,5.710471,8.761918,-0.15286453,0.07773031,-0.14721419
5.771,-1.119841,5.8396835,9.029915,-0.08689302,-0.048104223,-0.1435491
5.791,-0.94755775,6.088537,9.077771,-0.013591352,-0.19837265,-0.10689827
5.812,-0.7609176,6.1363935,9.072986,0.016951011,-0.27900448,-0.09590302
5.833,-0.56470615,6.1268225,9.077771,-0.017256435,-0.22036316,-0.1435491
5.853,-0.56470615,5.99761,9.546764,-0.07956286,-0.07009472,-0.20952061
5.875,-0.7752745,5.8540406,10.154541,-0.112548605,0.0361927,-0.26938364
5.895,-1.0959128,5.6099725,10.456037,-0.12965234,0.13759334,-0.29259583
5.917,-1.7467605,5.1553364,10.661819,-0.12354386,0.24632415,-0.28037888
5.937,-2.3018954,4.7007003,10.89153,-0.029473381,0.17546588,-0.24372806
5.958,-2.292324,4.3322053,10.508678,0.15500249,-0.12873606,-0.1655396
5.979,-1.6175481,4.188636,9.384052,0.27472857,-0.33275905,-0.10689827
6.0,-0.9236295,4.1647077,8.36471,0.30649263,-0.3193204,-0.07146913
